"date","mean","std","mis"
"1997-08-29",NA,NA,1
"1997-09-06",NA,NA,1
"1997-09-14",0.187072348125231,0.43757131354178,0.61664681752018
"1997-09-22",0.159045264946672,0.429365837694689,0.253010453883816
"1997-09-30",0.167100959246248,0.486143060797415,0.216355696705042
"1997-10-08",0.177365830735034,0.513902051918326,0.195447929072383
"1997-10-16",0.148886990131246,0.543099677061039,0.733756781791716
"1997-10-24",0.205920328641539,0.709683735365096,0.11578668783909
"1997-11-01",0.224836570164066,0.63720552273272,0.301045388381633
"1997-11-09",0.224898945555438,0.545117231206489,0.164086277623396
"1997-11-17",0.264802270563273,0.591980622052595,0.113934100833664
"1997-11-25",0.257901376190777,0.522660332236577,0.244144501786423
"1997-12-03",0.317078004825541,0.466707637665346,0.321423845441313
"1997-12-11",0.335066046321847,0.397128630404061,0.505756252481143
"1997-12-19",0.29379773704794,0.446936564549984,0.235146222045785
"1997-12-27",0.440775490226364,0.461995912579184,0.860394336376869
"1998-01-01",0.293154870022131,0.4041581407788,0.607251554849808
"1998-01-09",0.282599819683307,0.44646429987519,0.453222178113008
"1998-01-17",0.249028906002409,0.385823750589956,0.520709276167792
"1998-01-25",0.290928172258323,0.410925689463496,0.229191478099775
"1998-02-02",0.27368164075252,0.477790361886807,0.172158263861321
"1998-02-10",0.317350295484768,0.46986250520871,0.129548762736536
"1998-02-18",0.292869942636365,0.35368899809659,0.223236734153765
"1998-02-26",0.278224792585847,0.380274088916295,0.139076353050152
"1998-03-06",0.288559798996578,0.419395252012026,0.0816461558819637
"1998-03-14",0.273834684570474,0.348724845761469,0.129151779806802
"1998-03-22",0.262103692164665,0.316003898413221,0.269419081646156
"1998-03-30",0.229650102769692,0.330972410046638,0.0576948524546778
"1998-04-07",0.206105229290356,0.363436551386409,0.0594151118168585
"1998-04-15",0.201747057179021,0.389824755342567,0.0846896916765912
"1998-04-23",0.203107251141081,0.51766953051983,0.564906709011513
"1998-05-01",0.163224371864024,0.465003585859281,0.122138414714834
"1998-05-09",0.262641577610666,0.667146782696476,0.804287415641127
"1998-05-17",0.176412515832565,0.641282272611473,0.0735741696440386
"1998-05-25",0.151859863496268,0.427548327865894,0.721450310969962
"1998-06-02",0.142767862188144,0.594119632082658,0.834061135371179
"1998-06-10",0.227308483184805,0.701194560919778,0.768029641392087
"1998-06-18",0.16473197065078,0.499014502938235,0.809051210797936
"1998-06-26",0.256404418898118,0.693924562310136,0.441709673150721
"1998-07-04",0.157984000427392,0.481339824350007,0.996427153632394
"1998-07-12",0.469690511848417,1.65168728161917,0.82982665078735
"1998-07-20",0.274847966633996,1.00857359265307,0.720127034537515
"1998-07-28",0.484502113396117,1.31490550045532,0.940452560539897
"1998-08-05",1.29886609988335,1.34619252885652,0.94706894270213
"1998-08-13",0.583669355512851,0.689614271927409,0.967844382691544
"1998-08-21",0.297327348342718,0.566073267844109,0.581183009130607
"1998-08-29",0.320666104164685,0.457431613075791,0.820166732830488
"1998-09-06",0.265428385872687,0.625307425536048,0.313881169776366
"1998-09-14",0.256345503448233,0.624320286850633,0.475056239248379
"1998-09-22",0.237497851252215,0.387452775757943,0.458515283842795
"1998-09-30",0.199269153861251,0.361591575639499,0.151382823871907
"1998-10-08",0.179492380743176,0.390373884887652,0.139076353050152
"1998-10-16",0.171750828312627,0.417594003376353,0.146883684001588
"1998-10-24",0.169393308907426,0.464913150246378,0.0944819372766971
"1998-11-01",0.179910673106018,0.522530692480427,0.0584888183141458
"1998-11-09",0.205356362142853,0.56463829623102,0.092100039698293
"1998-11-17",0.231913002164546,0.577512543494254,0.520973931454281
"1998-11-25",0.273475484402576,0.67567761697631,0.14013497419611
"1998-12-03",0.306147445975171,0.664923125095234,0.106126769882228
"1998-12-11",0.382035521804126,0.549432857409338,0.0909090909090909
"1998-12-19",0.376294406502346,0.515622580306802,0.240968638348551
"1998-12-27",0.403304087304164,0.428471266613995,0.507873494773058
"1999-01-01",0.485596882446086,0.468864508137764,0.288077279343655
"1999-01-09",0.354693973161589,0.39427478627545,0.416302765647744
"1999-01-17",0.376709830955057,0.474440022745077,0.0562392483789864
"1999-01-25",0.317026250716507,0.372835921290799,0.256186317321689
"1999-02-02",0.373675131454682,0.456581996705882,0.133650919677121
"1999-02-10",0.307331904594291,0.37565151597241,0.237792774910679
"1999-02-18",0.328641088708488,0.352430169222706,0.111419875612015
"1999-02-26",0.29574253265349,0.348003356287124,0.124520312293238
"1999-03-06",0.287388755938665,0.35407879653213,0.0684133915574964
"1999-03-14",0.283477705071184,0.468897759382253,0.0587534736006352
"1999-03-22",0.250672542322817,0.389496954712765,0.118300913060738
"1999-03-30",0.21981010046106,0.383878334127623,0.0771470160116448
"1999-04-07",0.229237873067059,0.355600279598242,0.0543866613735609
"1999-04-15",0.204002991178313,0.43297253297355,0.118697895990472
"1999-04-23",0.208233204119476,0.505727852869669,0.394865687442107
"1999-05-01",0.196008189595955,0.4502191438692,0.579065766838693
"1999-05-09",0.199759944460052,0.625823300781443,0.680031758634379
"1999-05-17",0.168339104471474,0.41829217551943,0.393674738652905
"1999-05-25",NA,NA,1
"1999-06-02",0.142226092577126,0.338098932283689,0.961624983459045
"1999-06-10",0.186169459082123,0.56389255126325,0.753208945348683
"1999-06-18",0.162521328239696,0.485431044869809,0.98385602752415
"1999-06-26",NA,NA,1
"1999-07-04",0.232973901205307,0.468067202408166,0.657006748709805
"1999-07-12",0.199384248449962,0.363228784464146,0.936482731242557
"1999-07-20",0.12262727554778,0.329223310902905,0.845308985046976
