"date","mean","std","mis"
"1997-08-29",NA,NA,1
"1997-09-06",NA,NA,1
"1997-09-14",-0.81446036181868,0.700728979931505,0.279050601615296
"1997-09-22",-0.648705135991479,0.744863859267414,0.182462502060326
"1997-09-30",-0.616230448296014,0.86168979162923,0.213120158233064
"1997-10-08",-0.314684646808592,0.971444648350334,0.253502554804681
"1997-10-16",0.0388362795722456,0.562064534398162,0.918905554639855
"1997-10-24",-0.13976973919087,0.70702366261769,0.146365584308554
"1997-11-01",-0.0714758443324771,0.764033707627836,0.148837975935388
"1997-11-09",-0.205412097267544,0.750873561552711,0.157408933575078
"1997-11-17",-0.020851793459552,0.871291129331803,0.208010548870941
"1997-11-25",0.00509390241282281,0.640998785166264,0.221196637547387
"1997-12-03",0.179197202745298,0.661277668911845,0.151475193670677
"1997-12-11",0.0646339086872223,0.573556445344743,0.221691115872754
"1997-12-19",0.165770343322769,0.66118498015169,0.347453436624361
"1997-12-27",-0.161913283961886,0.500302877816748,0.298500082413054
"1998-01-01",0.0689530359519004,0.63267583900576,0.402835009065436
"1998-01-09",0.0494802778998837,0.559210396235926,0.696390308224823
"1998-01-17",0.39602033809085,0.668178718613886,0.629306082083402
"1998-01-25",-0.0697316841845648,0.696840025862747,0.338717652876216
"1998-02-02",0.015967872432987,0.730197412951054,0.299489039063788
"1998-02-10",-0.459304775158253,0.506133746650805,0.366243612988297
"1998-02-18",-0.7385805818223,0.430612318629877,0.89039063787704
"1998-02-26",-0.578306857763962,0.478673384607298,0.559254985989781
"1998-03-06",-0.491645356119251,0.604297342885084,0.255480468106148
"1998-03-14",-0.678789659143564,0.526554486122164,0.221691115872754
"1998-03-22",-0.684675749180397,0.5322102393658,0.291907038074831
"1998-03-30",-0.940095638533065,0.452890098680153,0.163837151804846
"1998-04-07",-0.985352288334784,0.50024589860147,0.319762650403824
"1998-04-15",-0.663446438287952,0.607309052957456,0.425581012032306
"1998-04-23",-0.931852355812115,0.447696888176326,0.567331465304104
"1998-05-01",-1.01381552194408,0.533329605255562,0.377616614471732
"1998-05-09",-1.05892545796431,0.685180689576713,0.247403988791825
"1998-05-17",-0.975689310665957,0.651520213613924,0.161859238503379
"1998-05-25",-0.951001703901191,0.646260130869337,0.559914290423603
"1998-06-02",-0.841137759428548,0.443004979409567,0.827921542772375
"1998-06-10",-0.753142605741762,0.828634796951933,0.478160540629636
"1998-06-18",-1.18315549855139,0.700054440924737,0.977418823141586
"1998-06-26",-1.18531452491368,0.642973826603861,0.859897807812757
"1998-07-04",NA,NA,1
"1998-07-12",NA,NA,1
"1998-07-20",-0.344949328432289,0.642477086926866,0.913960771386188
"1998-07-28",NA,NA,1
"1998-08-05",NA,NA,1
"1998-08-13",-0.117874910240175,0.76894316199811,0.726883138289105
"1998-08-21",-1.05167946487255,0.767450203053922,0.889236855117851
"1998-08-29",-0.533094413653304,0.879562635658128,0.402010878523158
"1998-09-06",-0.657163155043387,0.802373105276103,0.336245261249382
"1998-09-14",-0.532417745652429,0.624620072534552,0.62600955991429
"1998-09-22",-0.743499363933105,0.701917564590651,0.401516400197791
"1998-09-30",-0.620787146404804,0.858945915994252,0.599472556452942
"1998-10-08",-0.707094845233493,0.807650184265386,0.26174386022746
"1998-10-16",-0.413514650383581,0.810570940616202,0.161199934069557
"1998-10-24",-0.134200055268907,0.912009437788163,0.124278885775507
"1998-11-01",0.053313085497535,0.765750142417665,0.10252183945937
"1998-11-09",0.346411960249469,0.692385029763808,0.127740234053074
"1998-11-17",0.285441555456118,0.649761049943653,0.277237514422285
"1998-11-25",0.438260457331682,0.586226724096448,0.0876874896983682
"1998-12-03",0.250319826058596,0.518714126352674,0.109774188231416
"1998-12-11",0.235822350412116,0.517788752884467,0.0904895335421131
"1998-12-19",0.149976440279977,0.56090580252561,0.165650238997857
"1998-12-27",0.107120946770313,0.700743594749809,0.198615460688973
"1999-01-01",0.31321868127659,0.591354342997261,0.226141420801055
"1999-01-09",0.553248341527007,0.669134322954551,0.39970331300478
"1999-01-17",-0.0209480846063542,0.469240839610159,0.132190538981375
"1999-01-25",0.312636788222827,0.715775019419866,0.244107466622713
"1999-02-02",0.324707911570084,0.623911996616124,0.0967529256634251
"1999-02-10",-0.102275270348545,0.511209462908506,0.263886599637383
"1999-02-18",-0.0501941722720997,0.489677722168132,0.201582330641174
"1999-02-26",-0.070555324688371,0.704131140731537,0.168122630624691
"1999-03-06",-0.37854709337634,0.517801879296496,0.168452282841602
"1999-03-14",-0.192118474896514,0.601902980727862,0.190868633591561
"1999-03-22",-0.524408386119789,0.594563302749726,0.294379429701665
"1999-03-30",-0.54742542178835,0.609843632890076,0.216746332619087
"1999-04-07",-0.894956423271901,0.480836897807545,0.304268996208999
"1999-04-15",-0.781364735617968,0.596633570522335,0.320092302620735
"1999-04-23",-0.881927835069866,0.48335779009742,0.434811274105818
"1999-05-01",-0.88680252449055,0.650653013115733,0.213614636558431
"1999-05-09",-0.786036084836746,0.822494321080372,0.825778803362453
"1999-05-17",-0.824832608672712,0.788531421581602,0.58760507664414
"1999-05-25",NA,NA,1
"1999-06-02",0.0650819782302733,0.609537441915148,0.79643975605736
"1999-06-10",-0.997935118254602,0.919254370091204,0.837481457062799
"1999-06-18",-0.685346689571167,0.353848852579738,0.995549695071699
"1999-06-26",NA,NA,1
"1999-07-04",NA,NA,1
"1999-07-12",NA,NA,1
"1999-07-20",NA,NA,1
"1999-07-28",NA,NA,1
"1999-08-05",-0.705604863034786,0.531409798597061,0.873578374814571
"1999-08-13",NA,NA,1
