"date","NRS","NCRS","SCRS","SRS"
"1997-08-29",1.10346114384259,1.12581652970392,1.23298004058933,2.27314372981514
"1997-09-06",1.10611890547163,1.13904937692621,1.22540653775095,2.14513043762348
"1997-09-14",1.10611631765508,1.13465996700653,1.21980574032716,2.04328506689122
"1997-09-22",1.10546157723261,1.13190777633496,1.21900550302224,2.0281135635545
"1997-09-30",1.10986101253193,1.12593649351932,1.21683839524671,2.11418442460925
"1997-10-08",1.11225162198237,1.12860921829416,1.23515431118801,2.37408156844654
"1997-10-16",1.11852332786585,1.13760501467112,1.25698316296573,3.06119273478738
"1997-10-24",1.12660616917278,1.14342495125352,1.29153769568689,3.38555155646448
"1997-11-01",1.13837372291888,1.15300353361558,1.32863068327903,3.40356625299769
"1997-11-09",1.14427337715342,1.15546643469674,1.34663088623774,3.47219958001205
"1997-11-17",1.15612066269733,1.16795268108707,1.37955834248223,3.81926625921503
"1997-11-25",1.1700449156581,1.18519777572409,1.42998563506456,3.79655312860983
"1997-12-03",1.18664279606183,1.19342577382602,1.44071925269967,3.39681023103238
"1997-12-11",1.21137145550223,1.21304950176535,1.46947292754214,3.38353744997077
"1997-12-19",1.23131517860335,1.22658847641095,1.49593904223801,3.43108420389883
"1997-12-27",1.2449147462834,1.2460376788088,1.57161671751336,3.3299659616561
"1998-01-01",1.24851176107036,1.25211551910234,1.52500254449025,3.62803978013048
"1998-01-09",1.25886650750446,1.26448688681846,1.50469616353308,3.31177315866781
"1998-01-17",1.27439290883827,1.26384436271691,1.51078032848005,3.07416013710192
"1998-01-25",1.3205123787292,1.26805374021287,1.51109884252227,3.07673477930212
"1998-02-02",1.30897394748564,1.26373960551587,1.51216889161037,3.4339927684138
"1998-02-10",1.31770176876147,1.25091335506217,1.45392905223514,2.89266419457382
"1998-02-18",1.3159815846725,1.24720353941171,1.41960596424872,2.47166876956958
"1998-02-26",1.32771394394754,1.23118851340267,1.41041237887233,2.43341141414233
"1998-03-06",1.29691583990774,1.20861109617516,1.35190098023413,2.45058195801896
"1998-03-14",1.31383061172432,1.1981640229338,1.33985927504194,2.15202147033534
"1998-03-22",1.27176912688547,1.19439727598329,1.31530360492053,1.94769487038124
"1998-03-30",1.28290564498652,1.173435553363,1.28873488855106,1.83710528534468
"1998-04-07",1.21519390326873,1.15694489024065,1.26887723396051,1.74385076224419
"1998-04-15",1.17550444438351,1.1542635627955,1.25356992922407,1.68248865081521
"1998-04-23",1.15444276309202,1.15054235018936,1.24826172842071,1.67176500529264
"1998-05-01",1.14302895463886,1.14844104281354,1.23777198983473,1.62642393496123
"1998-05-09",1.13785383146565,1.14828955789697,1.25311654233074,1.67251117227392
"1998-05-17",1.13155021411569,1.15231250640584,1.250617857129,1.72528512157117
"1998-05-25",1.12673063827796,1.17092794216,1.27243988873714,1.89114462892909
"1998-06-02",1.12304582344635,1.21315298112252,1.33001357720578,2.94985329327513
"1998-06-10",1.11584518709231,1.16498036714007,1.36827159778172,3.10352659308291
"1998-06-18",1.11476790817993,1.15143360546281,1.3762690458127,7.1665007275556
"1998-06-26",1.10882405511331,1.15009469487581,1.33050026988066,32.4148130621259
"1998-07-04",1.108792953874,1.14897548903179,1.32852102255139,15.6455040887684
"1998-07-12",1.1068203506259,1.13904356178766,1.30453195739102,26.4132102414879
"1998-07-20",1.10761755205637,1.13501908486302,1.29148684106029,5.49264410325831
"1998-07-28",1.10402757487484,1.12683470300844,1.28681043734161,6.06680963926269
"1998-08-05",1.10235995925504,1.12594432672423,1.37343372731943,7.18099571155645
"1998-08-13",1.10133688006743,1.11977458089662,1.26800253289814,3.75121855714548
"1998-08-21",1.10009848146044,1.12500449213144,1.23460339515647,2.35736266772718
